Memory Address: PosZ	PosY	PosX
Num Particles In the Cell : 92
DEC 79 : 390147.000000	102112920.000000	451967584.000000	
HEX 80 : 102E5340	13D94400	1760B440	
DEC 80 : 271471424.000000	333005824.000000	392213568.000000	
HEX 81 : 87FCB90	E8061A0	11C78000	
DEC 81 : 142592912.000000	243294624.000000	298287104.000000	
HEX 82 : 5C22C	121832E0	7F4F4B8	
DEC 82 : 377388.000000	303575776.000000	133493944.000000	
HEX 83 : 297ED0C	A676F50	140556A0	
DEC 83 : 43511052.000000	174550864.000000	335894176.000000	
HEX 84 : 1A5DF7C0	1A822EE0	189AF10	
DEC 84 : 442365888.000000	444739296.000000	25800464.000000	
HEX 85 : 1DE563C0	D5C6ED0	A04169	
DEC 85 : 501572544.000000	224161488.000000	10502505.000000	
HEX 86 : 28E676	16904880	F9BB4B	
DEC 86 : 2680438.000000	378554496.000000	16366411.000000	
HEX 87 : 19C253E0	12B463C0	14069EA0	
DEC 87 : 432165856.000000	313811904.000000	335978144.000000	
HEX 88 : 13874D40	54A01A8	113E9000	
DEC 88 : 327634240.000000	88736168.000000	289312768.000000	
HEX 89 : 180EE6E0	1F9B51E0	DCDA620	
DEC 89 : 403629792.000000	530272736.000000	231581216.000000	
HEX 90 : 1C268D	1EC0F340	B875170	
DEC 90 : 1844877.000000	515961664.000000	193417584.000000	
HEX 91 : 1E4A5380	16CD7AE0	19B6B6A0	
DEC 91 : 508187520.000000	382565088.000000	431404704.000000	
HEX 92 : 17E2D3E0	A9D8DE0	5F13D30	
DEC 92 : 400741344.000000	178097632.000000	99695920.000000	
93 : 0.000000	0.000000	0.000000	
94 : 0.000000	0.000000	0.000000	
95 : 0.000000	0.000000	0.000000	
96 : 0.000000	0.000000	0.000000	
97 : 0.000000	0.000000	0.000000	
98 : 0.000000	0.000000	0.000000	
99 : 0.000000	0.000000	0.000000	
