Memory Address: PosZ	PosY	PosX
Num Particles In the Cell : 85
DEC 74 : 8754718.000000	508682720.000000	466314528.000000	
HEX 75 : EAB29A0	1AEBE780	144502E0	
DEC 75 : 246098336.000000	451667840.000000	340067040.000000	
HEX 76 : 141942E0	1EAF92E0	18A97080	
DEC 76 : 337199840.000000	514822880.000000	413757568.000000	
HEX 77 : 17F208C0	13E914C0	C1FA9E0	
DEC 77 : 401737920.000000	334042304.000000	203401696.000000	
HEX 78 : 18DCDE20	18344E20	18306560	
DEC 78 : 417127968.000000	406081056.000000	405824864.000000	
HEX 79 : D4DD620	9D4F2D0	62DF310	
DEC 79 : 223204896.000000	164950736.000000	103674640.000000	
HEX 80 : 18CC8700	3053E20	6042478	
DEC 80 : 416057088.000000	50675232.000000	100934776.000000	
HEX 81 : 1A6BB780	1A999E20	DF765A	
DEC 81 : 443266944.000000	446275104.000000	14644826.000000	
HEX 82 : 15B84620	1B65E2E0	11AC22E0	
DEC 82 : 364398112.000000	459662048.000000	296493792.000000	
HEX 83 : 1B383C4	171A1C40	D451400	
DEC 83 : 28541892.000000	387587136.000000	222630912.000000	
HEX 84 : 1EC753C0	17568780	9312B50	
DEC 84 : 516379584.000000	391546752.000000	154217296.000000	
HEX 85 : 2ABC8F0	1FF8EB40	13D65C40	
DEC 85 : 44812528.000000	536406848.000000	332815424.000000	
86 : 0.000000	0.000000	0.000000	
87 : 0.000000	0.000000	0.000000	
88 : 0.000000	0.000000	0.000000	
89 : 0.000000	0.000000	0.000000	
90 : 0.000000	0.000000	0.000000	
91 : 0.000000	0.000000	0.000000	
92 : 0.000000	0.000000	0.000000	
93 : 0.000000	0.000000	0.000000	
94 : 0.000000	0.000000	0.000000	
95 : 0.000000	0.000000	0.000000	
96 : 0.000000	0.000000	0.000000	
97 : 0.000000	0.000000	0.000000	
98 : 0.000000	0.000000	0.000000	
99 : 0.000000	0.000000	0.000000	
