Memory Address: PosZ	PosY	PosX
Num Particles In the Cell : 91
HEX 86 : 155C19A0	A3359A0	1FCEC400	
DEC 86 : 358357408.000000	171137440.000000	533644288.000000	
HEX 87 : 11A672C0	347BF4C	1E529DE0	
DEC 87 : 296121024.000000	55033676.000000	508730848.000000	
HEX 88 : 5F544C0	8C82290	138ED7A0	
DEC 88 : 99960000.000000	147333776.000000	328128416.000000	
HEX 89 : 158BE7E0	C670DE0	63C14C0	
DEC 89 : 361490400.000000	208080352.000000	104600768.000000	
HEX 90 : 1BB24440	75561A8	116A05E0	
DEC 90 : 464667712.000000	123036072.000000	292160992.000000	
HEX 91 : 6D533F8	FAFE9E0	2B655E8	
DEC 91 : 114635768.000000	263186912.000000	45503976.000000	
92 : 0.000000	0.000000	0.000000	
93 : 0.000000	0.000000	0.000000	
94 : 0.000000	0.000000	0.000000	
95 : 0.000000	0.000000	0.000000	
96 : 0.000000	0.000000	0.000000	
97 : 0.000000	0.000000	0.000000	
98 : 0.000000	0.000000	0.000000	
99 : 0.000000	0.000000	0.000000	
