Memory Address: PosZ	PosY	PosX
Num Particles In the Cell : 92
HEX 1 : 1D3B4D00	B6742D0	107F1960	
HEX 74 : 1EE8CFC0	1FCACE20	1D614960	
DEC 74 : 518574016.000000	533384736.000000	492915040.000000	
HEX 75 : 5F53F	12E36100	B24B5A0	
DEC 75 : 390463.000000	316891392.000000	186955168.000000	
HEX 76 : 3977994	4E9C5A8	114761E0	
DEC 76 : 60258708.000000	82429352.000000	289890784.000000	
HEX 77 : 75811D8	105E2960	1D06FF00	
DEC 77 : 123212248.000000	274606432.000000	486997760.000000	
HEX 78 : 67EACA0	13FAE1E0	F8AC5A0	
DEC 78 : 108965024.000000	335208928.000000	260752800.000000	
HEX 79 : 3300EA0	19B85D20	B3032D0	
DEC 79 : 53481120.000000	431512864.000000	187708112.000000	
HEX 80 : 15D541C0	F046F10	C1DD4B0	
DEC 80 : 366297536.000000	251948816.000000	203281584.000000	
HEX 81 : 53F51C0	1DA45D20	1146CE20	
DEC 81 : 88035776.000000	497311008.000000	289852960.000000	
HEX 82 : 126593A0	FADCF10	15486E20	
DEC 82 : 308646816.000000	263048976.000000	357068320.000000	
HEX 83 : 194DBA00	99AF0F	85621E0	
DEC 83 : 424524288.000000	10071823.000000	139862496.000000	
HEX 84 : FBA6A90	1F2F21E0	1C175880	
DEC 84 : 263875216.000000	523182560.000000	471292032.000000	
HEX 85 : 227A0C	1C851100	26CC968	
DEC 85 : 2259468.000000	478482688.000000	40683880.000000	
HEX 86 : 861ABB0	70343C0	B720970	
DEC 86 : 140618672.000000	117654464.000000	192022896.000000	
HEX 87 : 176E4B80	1DF52000	176AF2E0	
DEC 87 : 393104256.000000	502603776.000000	392884960.000000	
HEX 88 : C90FF20	B9A8D30	17C03D20	
DEC 88 : 210829088.000000	194678064.000000	398474528.000000	
HEX 89 : 5F7B6	9062D30	16BDCC40	
DEC 89 : 391094.000000	151399728.000000	381537344.000000	
HEX 90 : C2B3690	B07F0F0	1F3F83C0	
DEC 90 : 204158608.000000	185069808.000000	524256192.000000	
HEX 91 : 135EB300	E86969	1DFC01E0	
DEC 91 : 324973312.000000	15231337.000000	503054816.000000	
HEX 92 : DEF12C0	130DA4C0	103E8780	
DEC 92 : 233771712.000000	319661248.000000	272533376.000000	
93 : 0.000000	0.000000	0.000000	
94 : 0.000000	0.000000	0.000000	
95 : 0.000000	0.000000	0.000000	
96 : 0.000000	0.000000	0.000000	
97 : 0.000000	0.000000	0.000000	
98 : 0.000000	0.000000	0.000000	
99 : 0.000000	0.000000	0.000000	
