Memory Address: PosZ	PosY	PosX
Num Particles In the Cell : 90
HEX 1 : 5F6BA	DDCA97	1ED8E5A0	
DEC 81 : 226805856.000000	447652320.000000	419656896.000000	
HEX 82 : 1FB68840	609DC78	41692D0	
DEC 82 : 532056128.000000	101309560.000000	68588240.000000	
HEX 83 : 1F0FF440	5E1CD68	1EE52C40	
DEC 83 : 521139264.000000	98684264.000000	518335552.000000	
HEX 84 : 104C780	1F224080	AAAA2D0	
DEC 84 : 17090432.000000	522338432.000000	178954960.000000	
HEX 85 : 4515EE0	3B7325C	26525A4	
DEC 85 : 72441568.000000	62337628.000000	40183204.000000	
HEX 86 : DC73680	BB4CC40	E29AC40	
DEC 86 : 231159424.000000	196398144.000000	237612096.000000	
HEX 87 : 9B874	58E5220	FC4A0F0	
DEC 87 : 637044.000000	93213216.000000	264544496.000000	
HEX 88 : 16774D20	1B1518C0	F237D30	
DEC 88 : 376917280.000000	454367424.000000	253984048.000000	
HEX 89 : 760D748	E7DF480	119E6000	
DEC 89 : 123787080.000000	243135616.000000	295591936.000000	
HEX 90 : 11723480	288B6D4	9E4969	
DEC 90 : 292697216.000000	42514132.000000	10373481.000000	
91 : 0.000000	0.000000	0.000000	
92 : 0.000000	0.000000	0.000000	
93 : 0.000000	0.000000	0.000000	
94 : 0.000000	0.000000	0.000000	
95 : 0.000000	0.000000	0.000000	
96 : 0.000000	0.000000	0.000000	
97 : 0.000000	0.000000	0.000000	
98 : 0.000000	0.000000	0.000000	
99 : 0.000000	0.000000	0.000000	
