Memory Address: PosZ	PosY	PosX
Num Particles In the Cell : 94
HEX 1 : 5ED99	DE825D0	1A3FB9A0	
DEC 74 : 438895008.000000	427973152.000000	402019520.000000	
HEX 75 : 5F57E	5756E48	1818D660	
DEC 75 : 390526.000000	91582024.000000	404280928.000000	
HEX 76 : 2388814	55E5CC0	10E56740	
DEC 76 : 37259284.000000	90070208.000000	283469632.000000	
HEX 77 : 6EFA848	1F4B1960	1BB1BDA0	
DEC 77 : 116369480.000000	525015392.000000	464633248.000000	
HEX 78 : 1943D520	131B5E80	1CEA12E0	
DEC 78 : 423875872.000000	320560768.000000	485102304.000000	
HEX 79 : 6428460	17B711A0	1AFAC400	
DEC 79 : 105022560.000000	397873568.000000	452641792.000000	
HEX 80 : 1D256160	1FC3C6E0	1AE6EF40	
DEC 80 : 488989024.000000	532924128.000000	451342144.000000	
HEX 81 : 19645AE0	1FD65080	136A3B80	
DEC 81 : 426007264.000000	534139008.000000	325729152.000000	
HEX 82 : 154C026	833B240	1EFC5EA0	
DEC 82 : 22331430.000000	137605696.000000	519855776.000000	
HEX 83 : 1960A300	CEB2C50	1899D340	
DEC 83 : 425763584.000000	216738896.000000	412734272.000000	
HEX 84 : 1CF1E680	16B6C	2D209A4	
DEC 84 : 485615232.000000	93036.000000	47319460.000000	
HEX 85 : 15432F00	CB841E0	124C7260	
DEC 85 : 356724480.000000	213402080.000000	306999904.000000	
HEX 86 : 874E990	15106	1E3B9340	
DEC 86 : 141879696.000000	86278.000000	507220800.000000	
HEX 87 : 2927268	18D10200	ABCFB80	
DEC 87 : 43151976.000000	416350720.000000	180157312.000000	
HEX 88 : 1A38A9E0	B09B090	1E6774C	
DEC 88 : 439921120.000000	185184400.000000	31881036.000000	
HEX 89 : FFBDA2	16876	1D323DA0	
DEC 89 : 16760226.000000	92278.000000	489831840.000000	
HEX 90 : 5F53F	16E53100	16D76340	
DEC 90 : 390463.000000	384119040.000000	383214400.000000	
HEX 91 : 181DC140	12916960	BCB6400	
DEC 91 : 404603200.000000	311519584.000000	197878784.000000	
HEX 92 : E0A9C30	16A30	AC4F400	
DEC 92 : 235576368.000000	92720.000000	180679680.000000	
HEX 93 : 10BFA900	E5DC2C0	C806170	
DEC 93 : 280996096.000000	241025728.000000	209740144.000000	
HEX 94 : 95008F0	154B9	10A0E840	
DEC 94 : 156240112.000000	87225.000000	278980672.000000	
95 : 0.000000	0.000000	0.000000	
96 : 0.000000	0.000000	0.000000	
97 : 0.000000	0.000000	0.000000	
98 : 0.000000	0.000000	0.000000	
99 : 0.000000	0.000000	0.000000	
