Memory Address: PosZ	PosY	PosX
Num Particles In the Cell : 86
DEC 73 : 314841120.000000	242775216.000000	101000856.000000	
HEX 74 : 8EC66A0	1CA63100	106FAB40	
DEC 74 : 149710496.000000	480653568.000000	275753792.000000	
HEX 75 : 1DFA39A0	4E4CAD0	58990F0	
DEC 75 : 502938016.000000	82102992.000000	92901616.000000	
HEX 76 : 1F4315A0	14EB8880	B087000	
DEC 76 : 524490144.000000	350980224.000000	185102336.000000	
HEX 77 : 140D0EA	1F416C40	D85878	
DEC 77 : 21025002.000000	524381248.000000	14178424.000000	
HEX 78 : 5F5BD	19B346A0	5C6C3C0	
DEC 78 : 390589.000000	431179424.000000	96912320.000000	
HEX 79 : 1A2864C0	AD862D0	1F46DB40	
DEC 79 : 438854848.000000	181953232.000000	524737344.000000	
HEX 80 : 5F8B3	1F7945A0	D7CEA60	
DEC 80 : 391347.000000	528041376.000000	226290272.000000	
HEX 81 : 6116BC0	A2D0A60	B4EEA60	
DEC 81 : 101804992.000000	170723936.000000	189721184.000000	
HEX 82 : 16105AC0	A04F620	16E83D20	
DEC 82 : 370170560.000000	168097312.000000	384318752.000000	
HEX 83 : 4192AB8	67FF0F0	1B1F0960	
DEC 83 : 68758200.000000	109048048.000000	455018848.000000	
HEX 84 : 14D7FB00	AC774B0	EBA44B0	
DEC 84 : 349698816.000000	180843696.000000	247088304.000000	
HEX 85 : 1E492260	1E1FCB40	167A1780	
DEC 85 : 508109408.000000	505400128.000000	377100160.000000	
HEX 86 : 17A55E60	1B940E20	1A76DA60	
DEC 86 : 396713568.000000	462687776.000000	443996768.000000	
87 : 0.000000	0.000000	0.000000	
88 : 0.000000	0.000000	0.000000	
89 : 0.000000	0.000000	0.000000	
90 : 0.000000	0.000000	0.000000	
91 : 0.000000	0.000000	0.000000	
92 : 0.000000	0.000000	0.000000	
93 : 0.000000	0.000000	0.000000	
94 : 0.000000	0.000000	0.000000	
95 : 0.000000	0.000000	0.000000	
96 : 0.000000	0.000000	0.000000	
97 : 0.000000	0.000000	0.000000	
98 : 0.000000	0.000000	0.000000	
99 : 0.000000	0.000000	0.000000	
