Memory Address: PosZ	PosY	PosX
Num Particles In the Cell : 93
DEC 87 : 11608425.000000	493464288.000000	268203152.000000	
HEX 88 : 162FEBC0	1424D740	3C648F0	
DEC 88 : 372239296.000000	337958720.000000	63326448.000000	
HEX 89 : 82BEB50	16B6C	AE5A2A0	
DEC 89 : 137096016.000000	93036.000000	182821536.000000	
HEX 90 : 1238E340	18E75	7B818B8	
DEC 90 : 305718080.000000	102005.000000	129505464.000000	
HEX 91 : 12DE2DE0	4B97E70	DC5AA50	
DEC 91 : 316550624.000000	79265392.000000	231058000.000000	
HEX 92 : E9C4040	1B42CFA0	5F1D370	
DEC 92 : 245121088.000000	457363360.000000	99734384.000000	
HEX 93 : 17009CC0	147A9400	1B43BD00	
DEC 93 : 385916096.000000	343577600.000000	457424128.000000	
94 : 0.000000	0.000000	0.000000	
95 : 0.000000	0.000000	0.000000	
96 : 0.000000	0.000000	0.000000	
97 : 0.000000	0.000000	0.000000	
98 : 0.000000	0.000000	0.000000	
99 : 0.000000	0.000000	0.000000	
