Memory Address: PosZ	PosY	PosX
Num Particles In the Cell : 87
HEX 1 : 8722260	17F47F00	1F3D8C40	
HEX 77 : F258310	15764B4	17968260	
DEC 77 : 254116624.000000	22504628.000000	395739744.000000	
HEX 78 : 1230D700	14FE3C40	8AA6260	
DEC 78 : 305190656.000000	352205888.000000	145384032.000000	
HEX 79 : D24A660	8B2E970	33FEE98	
DEC 79 : 220505696.000000	145942896.000000	54521496.000000	
HEX 80 : 149512A0	9DA32D0	3D41168	
DEC 80 : 345313952.000000	165294800.000000	64229736.000000	
HEX 81 : 1E472B40	1590FA60	146D4C40	
DEC 81 : 507980608.000000	361822816.000000	342707264.000000	
HEX 82 : D022880	26BA5A4	1F2FD960	
DEC 82 : 218245248.000000	40609188.000000	523229536.000000	
HEX 83 : 12F59840	19B56A60	E7C4620	
DEC 83 : 318085184.000000	431319648.000000	243025440.000000	
HEX 84 : 8502C00	15C6C3C0	4820E20	
DEC 84 : 139471872.000000	365347776.000000	75632160.000000	
HEX 85 : 7A7C3C	171265A0	1EADC3C0	
DEC 85 : 8027196.000000	387081632.000000	514704320.000000	
HEX 86 : 5E46840	1CE9DD20	AD03AD0	
DEC 86 : 98854976.000000	485088544.000000	181418704.000000	
HEX 87 : 104DB1E0	41675A8	10AC16A0	
DEC 87 : 273527264.000000	68580776.000000	279713440.000000	
88 : 0.000000	0.000000	0.000000	
89 : 0.000000	0.000000	0.000000	
90 : 0.000000	0.000000	0.000000	
91 : 0.000000	0.000000	0.000000	
92 : 0.000000	0.000000	0.000000	
93 : 0.000000	0.000000	0.000000	
94 : 0.000000	0.000000	0.000000	
95 : 0.000000	0.000000	0.000000	
96 : 0.000000	0.000000	0.000000	
97 : 0.000000	0.000000	0.000000	
98 : 0.000000	0.000000	0.000000	
99 : 0.000000	0.000000	0.000000	
