Memory Address: PosZ	PosY	PosX
Num Particles In the Cell : 99
HEX 90 : 103CC4C0	9E169	C5A20A0	
DEC 90 : 272417984.000000	647529.000000	207233184.000000	
HEX 91 : 1E9BA880	1B744720	1AAB1D00	
DEC 91 : 513517696.000000	460605216.000000	447421696.000000	
HEX 92 : 253E4B4	86B1250	71D1130	
DEC 92 : 39052468.000000	141234768.000000	119345456.000000	
HEX 93 : 10D25C40	19C163A0	16AA7D60	
DEC 93 : 282221632.000000	432104352.000000	380271968.000000	
HEX 94 : A135A60	9871C	10ADDDC0	
DEC 94 : 169040480.000000	624412.000000	279829952.000000	
HEX 95 : 18EADD20	BC518C0	2687E88	
DEC 95 : 418045216.000000	197466304.000000	40402568.000000	
HEX 96 : 14E84D20	13523A80	1523E0A0	
DEC 96 : 350768416.000000	324156032.000000	354672800.000000	
HEX 97 : 1086DD20	1232B080	DE7C170	
DEC 97 : 277273888.000000	305311872.000000	233292144.000000	
HEX 98 : 171B13C0	E1E39C	18E34E40	
DEC 98 : 387650496.000000	14803868.000000	417549888.000000	
HEX 99 : 14B36E20	12A27700	13880AE	
DEC 99 : 347303456.000000	312637184.000000	20480174.000000	
