Memory Address: PosZ	PosY	PosX
Num Particles In the Cell : 82
HEX 76 : 5AEC7C0	16A51B40	1BFA0F00	
DEC 76 : 95340480.000000	379919168.000000	469372672.000000	
HEX 77 : 6326E58	18F62D20	10BD99E0	
DEC 77 : 103968344.000000	418786592.000000	280861152.000000	
HEX 78 : 1BA7D620	B61EE20	1E6B6340	
DEC 78 : 463984160.000000	190967328.000000	510354240.000000	
HEX 79 : 1388FB00	18678B40	73E0800	
DEC 79 : 327744256.000000	409439040.000000	121505792.000000	
HEX 80 : 5BDF130	B7F68F0	B7F0C40	
DEC 80 : 96334128.000000	192899312.000000	192875584.000000	
HEX 81 : 1F31DA60	7DA8A58	D8A5260	
DEC 81 : 523360864.000000	131762776.000000	227168864.000000	
HEX 82 : 16513F40	ADA878	192B2D20	
DEC 82 : 374423360.000000	11380856.000000	422260000.000000	
83 : 0.000000	0.000000	0.000000	
84 : 0.000000	0.000000	0.000000	
85 : 0.000000	0.000000	0.000000	
86 : 0.000000	0.000000	0.000000	
87 : 0.000000	0.000000	0.000000	
88 : 0.000000	0.000000	0.000000	
89 : 0.000000	0.000000	0.000000	
90 : 0.000000	0.000000	0.000000	
91 : 0.000000	0.000000	0.000000	
92 : 0.000000	0.000000	0.000000	
93 : 0.000000	0.000000	0.000000	
94 : 0.000000	0.000000	0.000000	
95 : 0.000000	0.000000	0.000000	
96 : 0.000000	0.000000	0.000000	
97 : 0.000000	0.000000	0.000000	
98 : 0.000000	0.000000	0.000000	
99 : 0.000000	0.000000	0.000000	
