Memory Address: PosZ	PosY	PosX
Num Particles In the Cell : 81
DEC 72 : 524172096.000000	110379128.000000	490556704.000000	
HEX 73 : 1FF6A3C0	17FE0C40	14FFD2E0	
DEC 73 : 536257472.000000	402525248.000000	352309984.000000	
HEX 74 : 18E36440	1F685260	15B89A60	
DEC 74 : 417555520.000000	526930528.000000	364419680.000000	
HEX 75 : 1B6CB3C0	29BADA4	1B4261E	
DEC 75 : 460108736.000000	43756964.000000	28583454.000000	
HEX 76 : 414FE98	E769C40	1263CB4	
DEC 76 : 68484760.000000	242654272.000000	19283124.000000	
HEX 77 : 6B53F10	1438B660	1C53C000	
DEC 77 : 112541456.000000	339261024.000000	475250688.000000	
HEX 78 : 1961F080	1203B960	170B8DA0	
DEC 78 : 425848960.000000	302233952.000000	386633120.000000	
HEX 79 : CDB7DA0	DC14BC0	E72B4B0	
DEC 79 : 215711136.000000	230771648.000000	242398384.000000	
HEX 80 : 71FF1E0	1F62E700	43EF87	
DEC 80 : 119534048.000000	526575360.000000	4452231.000000	
HEX 81 : 212C0F0	164D96E0	16A8A4C0	
DEC 81 : 34783472.000000	374183648.000000	380150976.000000	
82 : 0.000000	0.000000	0.000000	
83 : 0.000000	0.000000	0.000000	
84 : 0.000000	0.000000	0.000000	
85 : 0.000000	0.000000	0.000000	
86 : 0.000000	0.000000	0.000000	
87 : 0.000000	0.000000	0.000000	
88 : 0.000000	0.000000	0.000000	
89 : 0.000000	0.000000	0.000000	
90 : 0.000000	0.000000	0.000000	
91 : 0.000000	0.000000	0.000000	
92 : 0.000000	0.000000	0.000000	
93 : 0.000000	0.000000	0.000000	
94 : 0.000000	0.000000	0.000000	
95 : 0.000000	0.000000	0.000000	
96 : 0.000000	0.000000	0.000000	
97 : 0.000000	0.000000	0.000000	
98 : 0.000000	0.000000	0.000000	
99 : 0.000000	0.000000	0.000000	
