Memory Address: PosZ	PosY	PosX
Num Particles In the Cell : 82
HEX 1 : 9A2F8F0	16C30640	B147F10	
DEC 75 : 1855608.000000	58656304.000000	382703744.000000	
HEX 76 : 1B6C85A0	1B314F	DD9C5A0	
DEC 76 : 460096928.000000	1782095.000000	232375712.000000	
HEX 77 : 163CC620	173B3140	13634D20	
DEC 77 : 373081632.000000	389755200.000000	325274912.000000	
HEX 78 : 13FA4B4	8C8B770	105C788	
DEC 78 : 20948148.000000	147371888.000000	17155976.000000	
HEX 79 : DEF3E20	72EFA10	5D32C40	
DEC 79 : 233782816.000000	120519184.000000	97725504.000000	
HEX 80 : 1DF11900	167F8	15142000	
DEC 80 : 502339840.000000	92152.000000	353640448.000000	
HEX 81 : A18CD30	A30F2E0	1224A960	
DEC 81 : 169397552.000000	170980064.000000	304392544.000000	
HEX 82 : DC18BC0	E9340B0	46712D0	
DEC 82 : 230788032.000000	244531376.000000	73863888.000000	
83 : 0.000000	0.000000	0.000000	
84 : 0.000000	0.000000	0.000000	
85 : 0.000000	0.000000	0.000000	
86 : 0.000000	0.000000	0.000000	
87 : 0.000000	0.000000	0.000000	
88 : 0.000000	0.000000	0.000000	
89 : 0.000000	0.000000	0.000000	
90 : 0.000000	0.000000	0.000000	
91 : 0.000000	0.000000	0.000000	
92 : 0.000000	0.000000	0.000000	
93 : 0.000000	0.000000	0.000000	
94 : 0.000000	0.000000	0.000000	
95 : 0.000000	0.000000	0.000000	
96 : 0.000000	0.000000	0.000000	
97 : 0.000000	0.000000	0.000000	
98 : 0.000000	0.000000	0.000000	
99 : 0.000000	0.000000	0.000000	
