Memory Address: PosZ	PosY	PosX
Num Particles In the Cell : 93
HEX 1 : 181DC460	6B8F440	E1EAB50	
HEX 78 : E78AF40	156F2	7057E20	
DEC 78 : 242790208.000000	87794.000000	117800480.000000	
HEX 79 : 1A987000	74F9D20	1784FC40	
DEC 79 : 446197760.000000	122658080.000000	394591296.000000	
HEX 80 : 1B6F1820	EB6C9A0	189B76A0	
DEC 80 : 460265504.000000	246860192.000000	412841632.000000	
HEX 81 : EAE73F0	40DB8	131331E0	
DEC 81 : 246313968.000000	265656.000000	320025056.000000	
HEX 82 : 1C441340	15DA9640	C3E0E90	
DEC 82 : 474223424.000000	366646848.000000	205393552.000000	
HEX 83 : 139B2940	16779	18C544C0	
DEC 83 : 328935744.000000	92025.000000	415581376.000000	
HEX 84 : 1902FFC0	14C7DAA0	1C59FE20	
DEC 84 : 419626944.000000	348641952.000000	475659808.000000	
HEX 85 : 1B58EC80	1EF2A100	441F530	
DEC 85 : 458812544.000000	519217408.000000	71431472.000000	
HEX 86 : 13574420	167BFF00	CA25970	
DEC 86 : 324486176.000000	377224960.000000	211966320.000000	
HEX 87 : 12251240	112B2F60	2183800	
DEC 87 : 304419392.000000	288042848.000000	35141632.000000	
HEX 88 : 5A316	CD46	1EB42D2	
DEC 88 : 369430.000000	52550.000000	32195282.000000	
HEX 89 : 1AE3CC20	1E4253C0	195061E0	
DEC 89 : 451136544.000000	507663296.000000	424698336.000000	
HEX 90 : 15A864A0	5CAE058	1D20F000	
DEC 90 : 363357344.000000	97181784.000000	488697856.000000	
HEX 91 : 11466500	B56D610	1FB862E0	
DEC 91 : 289826048.000000	190240272.000000	532177632.000000	
HEX 92 : 34E04	5A8D398	1310DE20	
DEC 92 : 216580.000000	94950296.000000	319872544.000000	
HEX 93 : 199CB840	173B6CC0	554AA58	
DEC 93 : 429701184.000000	389770432.000000	89434712.000000	
94 : 0.000000	0.000000	0.000000	
95 : 0.000000	0.000000	0.000000	
96 : 0.000000	0.000000	0.000000	
97 : 0.000000	0.000000	0.000000	
98 : 0.000000	0.000000	0.000000	
99 : 0.000000	0.000000	0.000000	
