Memory Address: PosZ	PosY	PosX
Num Particles In the Cell : 80
HEX 1 : 15BE43C0	159E7F00	18EDE100	
HEX 73 : 1FE22B40	1CA965A0	15FA0B40	
DEC 73 : 534915904.000000	480863648.000000	368708416.000000	
HEX 74 : DB790F0	1B5F56A0	1A51B2E0	
DEC 74 : 230134000.000000	459232928.000000	441561824.000000	
HEX 75 : 1B7AE880	11963340	14A07160	
DEC 75 : 461039744.000000	295056192.000000	346059104.000000	
HEX 76 : 7C1D878	D89DC40	1DAEFB40	
DEC 76 : 130144376.000000	227138624.000000	498006848.000000	
HEX 77 : 626F5A8	11E09AE0	76F7878	
DEC 77 : 103216552.000000	299932384.000000	124745848.000000	
HEX 78 : 1BBB1000	A60FE20	37A28F0	
DEC 78 : 465244160.000000	174128672.000000	58337520.000000	
HEX 79 : 14205C40	1623A6A0	D83A9E0	
DEC 79 : 337665088.000000	371435168.000000	226732512.000000	
HEX 80 : 1CA29C40	12689700	2E969E0	
DEC 80 : 480418880.000000	308844288.000000	48851424.000000	
81 : 0.000000	0.000000	0.000000	
82 : 0.000000	0.000000	0.000000	
83 : 0.000000	0.000000	0.000000	
84 : 0.000000	0.000000	0.000000	
85 : 0.000000	0.000000	0.000000	
86 : 0.000000	0.000000	0.000000	
87 : 0.000000	0.000000	0.000000	
88 : 0.000000	0.000000	0.000000	
89 : 0.000000	0.000000	0.000000	
90 : 0.000000	0.000000	0.000000	
91 : 0.000000	0.000000	0.000000	
92 : 0.000000	0.000000	0.000000	
93 : 0.000000	0.000000	0.000000	
94 : 0.000000	0.000000	0.000000	
95 : 0.000000	0.000000	0.000000	
96 : 0.000000	0.000000	0.000000	
97 : 0.000000	0.000000	0.000000	
98 : 0.000000	0.000000	0.000000	
99 : 0.000000	0.000000	0.000000	
