Memory Address: PosZ	PosY	PosX
Num Particles In the Cell : 89
HEX 1 : 3C2ED2C	1103FE80	F4D1F80	
DEC 80 : 535924992.000000	162153024.000000	58929272.000000	
HEX 81 : AF2FB50	1CC41C60	109D1D20	
DEC 81 : 183696208.000000	482614368.000000	278732064.000000	
HEX 82 : 1516C000	1B13A380	1AB8C6A0	
DEC 82 : 353812480.000000	454271872.000000	448317088.000000	
HEX 83 : 140423C0	1272D4A0	5D2F710	
DEC 83 : 335815616.000000	309515424.000000	97711888.000000	
HEX 84 : 140BE5A0	D53E220	12110960	
DEC 84 : 336324000.000000	223601184.000000	303106400.000000	
HEX 85 : CA84E20	1137B560	4CFB3C0	
DEC 85 : 212356640.000000	288863584.000000	80720832.000000	
HEX 86 : 1DC35B40	168B5	17FAD260	
DEC 86 : 499342144.000000	92341.000000	402313824.000000	
HEX 87 : C85CE20	1E7D85A0	6BC5F88	
DEC 87 : 210095648.000000	511542688.000000	113008520.000000	
HEX 88 : 93040F0	1AD64860	183D6880	
DEC 88 : 154157296.000000	450250848.000000	406677632.000000	
HEX 89 : 1C1DA3C0	14D3E080	B2B8690	
DEC 89 : 471704512.000000	349429888.000000	187401872.000000	
90 : 0.000000	0.000000	0.000000	
91 : 0.000000	0.000000	0.000000	
92 : 0.000000	0.000000	0.000000	
93 : 0.000000	0.000000	0.000000	
94 : 0.000000	0.000000	0.000000	
95 : 0.000000	0.000000	0.000000	
96 : 0.000000	0.000000	0.000000	
97 : 0.000000	0.000000	0.000000	
98 : 0.000000	0.000000	0.000000	
99 : 0.000000	0.000000	0.000000	
