Memory Address: PosZ	PosY	PosX
Num Particles In the Cell : 95
HEX 1 : 1ECA7780	14FCA	FE3AB10	
HEX 80 : 1A7F0F00	C8C6CA0	2ADE4	
DEC 80 : 444534528.000000	210529440.000000	175588.000000	
HEX 81 : ED1E880	14FF8360	B644DC0	
DEC 81 : 248637568.000000	352289632.000000	191122880.000000	
HEX 82 : 199BAE20	9C83BD0	187F3220	
DEC 82 : 429633056.000000	164117456.000000	410989088.000000	
HEX 83 : C460080	C5B1660	3623B5	
DEC 83 : 205914240.000000	207296096.000000	3548085.000000	
HEX 84 : 6C89710	168F4	2B82114	
DEC 84 : 113809168.000000	92404.000000	45621524.000000	
HEX 85 : 3991F88	14D0B640	18AAFD40	
DEC 85 : 60366728.000000	349222464.000000	413859136.000000	
HEX 86 : 14111CC0	114BDA20	1D85BE60	
DEC 86 : 336665792.000000	290183712.000000	495304288.000000	
HEX 87 : 14A57C40	18DC414	82C87A0	
DEC 87 : 346389568.000000	26067988.000000	137136032.000000	
HEX 88 : 17D2C080	1AFDBDE0	69D4030	
DEC 88 : 399687808.000000	452836832.000000	110968880.000000	
HEX 89 : 1FF6E6A0	11317E40	13C34EA0	
DEC 89 : 536274592.000000	288456256.000000	331566752.000000	
HEX 90 : 199A71E0	DA2D8A0	11DF5A40	
DEC 90 : 429552096.000000	228776096.000000	299850304.000000	
HEX 91 : BE07C40	4D6FB70	B518	
DEC 91 : 199261248.000000	81197936.000000	46360.000000	
HEX 92 : BCE24B0	113A2580	19075E00	
DEC 92 : 198059184.000000	289023360.000000	419913216.000000	
HEX 93 : AB2F530	1D597DC0	C032	
DEC 93 : 179500336.000000	492404160.000000	49202.000000	
HEX 94 : DCD61E0	16502	571D250	
DEC 94 : 231563744.000000	91394.000000	91345488.000000	
HEX 95 : 1CCECE20	6D6E578	12596500	
DEC 95 : 483315232.000000	114746744.000000	307848448.000000	
96 : 0.000000	0.000000	0.000000	
97 : 0.000000	0.000000	0.000000	
98 : 0.000000	0.000000	0.000000	
99 : 0.000000	0.000000	0.000000	
