Memory Address: PosZ	PosY	PosX
Num Particles In the Cell : 89
HEX 79 : 1BF44B4	AC63C60	A9D0690	
DEC 79 : 29312180.000000	180763744.000000	178062992.000000	
HEX 80 : 7883E20	63A3A50	14D58880	
DEC 80 : 126369312.000000	104479312.000000	349538432.000000	
HEX 81 : 10881DA0	BB78B50	1354DF00	
DEC 81 : 277355936.000000	196578128.000000	324329216.000000	
HEX 82 : 820BD70	5B4CCE0	1D789C40	
DEC 82 : 136363376.000000	95735008.000000	494443584.000000	
HEX 83 : D1FED30	10A4FA20	BB2F3C0	
DEC 83 : 220196144.000000	279247392.000000	196277184.000000	
HEX 84 : C264930	1F736D60	CF493C0	
DEC 84 : 203835696.000000	527658336.000000	217355200.000000	
HEX 85 : E456C00	6718C80	E6DE690	
DEC 85 : 239430656.000000	108104832.000000	242083472.000000	
HEX 86 : 22697C4	14122740	1F6121E0	
DEC 86 : 36083652.000000	336734016.000000	526459360.000000	
HEX 87 : 16BB2740	A246D30	D7A55A0	
DEC 87 : 381364032.000000	170159408.000000	226121120.000000	
HEX 88 : DC2E5A0	991B5F0	1A4DAF00	
DEC 88 : 230876576.000000	160544240.000000	441298688.000000	
HEX 89 : 995F310	BFC1880	10700C40	
DEC 89 : 160822032.000000	201070720.000000	275778624.000000	
90 : 0.000000	0.000000	0.000000	
91 : 0.000000	0.000000	0.000000	
92 : 0.000000	0.000000	0.000000	
93 : 0.000000	0.000000	0.000000	
94 : 0.000000	0.000000	0.000000	
95 : 0.000000	0.000000	0.000000	
96 : 0.000000	0.000000	0.000000	
97 : 0.000000	0.000000	0.000000	
98 : 0.000000	0.000000	0.000000	
99 : 0.000000	0.000000	0.000000	
